Tokens_filename_"n-gram_count"_"start_ind"_"end_ind"_"pre_string"_"pos_string"_"output_classes"
BEIJING_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_0_0_[]_['An', 'activist', 'who', 'has', 'spent']_0
An_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_1_1_['BEIJING']_['activist', 'who', 'has', 'spent', 'the']_0
activist_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_2_2_['BEIJING', 'An']_['who', 'has', 'spent', 'the', 'last']_0
who_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_3_3_['BEIJING', 'An', 'activist']_['has', 'spent', 'the', 'last', 'several']_0
has_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_4_4_['BEIJING', 'An', 'activist', 'who']_['spent', 'the', 'last', 'several', 'years']_0
several years_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_2_8_9_['who', 'has', 'spent', 'the', 'last']_['documenting', 'labor', 'protests', 'across', 'China']_0
years documenting_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_2_9_10_['has', 'spent', 'the', 'last', 'several']_['labor', 'protests', 'across', 'China', 'has']_0
documenting labor_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_2_10_11_['spent', 'the', 'last', 'several', 'years']_['protests', 'across', 'China', 'has', 'been']_0
labor protests_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_2_11_12_['the', 'last', 'several', 'years', 'documenting']_['across', 'China', 'has', 'been', 'detained']_0
protests across_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_2_12_13_['last', 'several', 'years', 'documenting', 'labor']_['China', 'has', 'been', 'detained', 'by']_0
across China_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_2_13_14_['several', 'years', 'documenting', 'labor', 'protests']_['has', 'been', 'detained', 'by', 'the']_0
China has_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_2_14_15_['years', 'documenting', 'labor', 'protests', 'across']_['been', 'detained', 'by', 'the', 'authorities']_0
has been_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_2_15_16_['documenting', 'labor', 'protests', 'across', 'China']_['detained', 'by', 'the', 'authorities', 'since']_0
been detained_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_2_16_17_['labor', 'protests', 'across', 'China', 'has']_['by', 'the', 'authorities', 'since', 'midJune']_0
detained by_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_2_17_18_['protests', 'across', 'China', 'has', 'been']_['the', 'authorities', 'since', 'midJune', 'friends']_0
by the_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_2_18_19_['across', 'China', 'has', 'been', 'detained']_['authorities', 'since', 'midJune', 'friends', 'of']_0
the authorities_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_2_19_20_['China', 'has', 'been', 'detained', 'by']_['since', 'midJune', 'friends', 'of', 'his']_0
authorities since_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_2_20_21_['has', 'been', 'detained', 'by', 'the']_['midJune', 'friends', 'of', 'his', 'said']_0
since midJune_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_2_21_22_['been', 'detained', 'by', 'the', 'authorities']_['friends', 'of', 'his', 'said', 'on']_0
midJune friends_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_2_22_23_['detained', 'by', 'the', 'authorities', 'since']_['of', 'his', 'said', 'on', 'Monday']_0
friends of_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_2_23_24_['by', 'the', 'authorities', 'since', 'midJune']_['his', 'said', 'on', 'Monday']_0
of his_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_2_24_25_['the', 'authorities', 'since', 'midJune', 'friends']_['said', 'on', 'Monday']_0
his said_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_2_25_26_['authorities', 'since', 'midJune', 'friends', 'of']_['on', 'Monday']_0
said on_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_2_26_27_['since', 'midJune', 'friends', 'of', 'his']_['Monday']_0
on Monday_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_2_27_28_['midJune', 'friends', 'of', 'his', 'said']_[]_0
BEIJING An activist_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_3_0_2_[]_['who', 'has', 'spent', 'the', 'last']_0
An activist who_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_3_1_3_['BEIJING']_['has', 'spent', 'the', 'last', 'several']_0
activist who has_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_3_2_4_['BEIJING', 'An']_['spent', 'the', 'last', 'several', 'years']_0
who has spent_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_3_3_5_['BEIJING', 'An', 'activist']_['the', 'last', 'several', 'years', 'documenting']_0
has spent the_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_3_4_6_['BEIJING', 'An', 'activist', 'who']_['last', 'several', 'years', 'documenting', 'labor']_0
spent the last_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_3_5_7_['BEIJING', 'An', 'activist', 'who', 'has']_['several', 'years', 'documenting', 'labor', 'protests']_0
the last several_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_3_6_8_['An', 'activist', 'who', 'has', 'spent']_['years', 'documenting', 'labor', 'protests', 'across']_0
last several years_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_3_7_9_['activist', 'who', 'has', 'spent', 'the']_['documenting', 'labor', 'protests', 'across', 'China']_0
several years documenting_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_3_8_10_['who', 'has', 'spent', 'the', 'last']_['labor', 'protests', 'across', 'China', 'has']_0
years documenting labor_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_3_9_11_['has', 'spent', 'the', 'last', 'several']_['protests', 'across', 'China', 'has', 'been']_0
documenting labor protests_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_3_10_12_['spent', 'the', 'last', 'several', 'years']_['across', 'China', 'has', 'been', 'detained']_0
labor protests across_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_3_11_13_['the', 'last', 'several', 'years', 'documenting']_['China', 'has', 'been', 'detained', 'by']_0
protests across China_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_3_12_14_['last', 'several', 'years', 'documenting', 'labor']_['has', 'been', 'detained', 'by', 'the']_0
across China has_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_3_13_15_['several', 'years', 'documenting', 'labor', 'protests']_['been', 'detained', 'by', 'the', 'authorities']_0
China has been_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_3_14_16_['years', 'documenting', 'labor', 'protests', 'across']_['detained', 'by', 'the', 'authorities', 'since']_0
has been detained_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_3_15_17_['documenting', 'labor', 'protests', 'across', 'China']_['by', 'the', 'authorities', 'since', 'midJune']_0
been detained by_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_3_16_18_['labor', 'protests', 'across', 'China', 'has']_['the', 'authorities', 'since', 'midJune', 'friends']_0
detained by the_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_3_17_19_['protests', 'across', 'China', 'has', 'been']_['authorities', 'since', 'midJune', 'friends', 'of']_0
by the authorities_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_3_18_20_['across', 'China', 'has', 'been', 'detained']_['since', 'midJune', 'friends', 'of', 'his']_0
the authorities since_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_3_19_21_['China', 'has', 'been', 'detained', 'by']_['midJune', 'friends', 'of', 'his', 'said']_0
authorities since midJune_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_3_20_22_['has', 'been', 'detained', 'by', 'the']_['friends', 'of', 'his', 'said', 'on']_0
since midJune friends_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_3_21_23_['been', 'detained', 'by', 'the', 'authorities']_['of', 'his', 'said', 'on', 'Monday']_0
midJune friends of_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_3_22_24_['detained', 'by', 'the', 'authorities', 'since']_['his', 'said', 'on', 'Monday']_0
friends of his_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_3_23_25_['by', 'the', 'authorities', 'since', 'midJune']_['said', 'on', 'Monday']_0
of his said_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_3_24_26_['the', 'authorities', 'since', 'midJune', 'friends']_['on', 'Monday']_0
his said on_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_3_25_27_['authorities', 'since', 'midJune', 'friends', 'of']_['Monday']_0
said on Monday_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_3_26_28_['since', 'midJune', 'friends', 'of', 'his']_[]_0
The_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_0_0_[]_['activist', '<name>Lu', 'Yuyu</name>', 'was', 'taken']_0
activist_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_1_1_['The']_['<name>Lu', 'Yuyu</name>', 'was', 'taken', 'into']_0
<name>Lu_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_2_2_['The', 'activist']_['Yuyu</name>', 'was', 'taken', 'into', 'custody']_1
Yuyu</name>_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_3_3_['The', 'activist', '<name>Lu']_['was', 'taken', 'into', 'custody', 'by']_1
was_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_4_4_['The', 'activist', '<name>Lu', 'Yuyu</name>']_['taken', 'into', 'custody', 'by', 'the']_0
taken_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_5_5_['The', 'activist', '<name>Lu', 'Yuyu</name>', 'was']_['into', 'custody', 'by', 'the', 'police']_0
into_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_6_6_['activist', '<name>Lu', 'Yuyu</name>', 'was', 'taken']_['custody', 'by', 'the', 'police', 'on']_0
custody_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_7_7_['<name>Lu', 'Yuyu</name>', 'was', 'taken', 'into']_['by', 'the', 'police', 'on', 'June']_0
by_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_8_8_['Yuyu</name>', 'was', 'taken', 'into', 'custody']_['the', 'police', 'on', 'June', '16']_0
the_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_9_9_['was', 'taken', 'into', 'custody', 'by']_['police', 'on', 'June', '16', 'in']_0
police_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_10_10_['taken', 'into', 'custody', 'by', 'the']_['on', 'June', '16', 'in', 'the']_0
on_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_11_11_['into', 'custody', 'by', 'the', 'police']_['June', '16', 'in', 'the', 'southwestern']_0
June_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_12_12_['custody', 'by', 'the', 'police', 'on']_['16', 'in', 'the', 'southwestern', 'town']_0
16_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_13_13_['by', 'the', 'police', 'on', 'June']_['in', 'the', 'southwestern', 'town', 'of']_0
in_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_14_14_['the', 'police', 'on', 'June', '16']_['the', 'southwestern', 'town', 'of', 'Dali']_0
the_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_15_15_['police', 'on', 'June', '16', 'in']_['southwestern', 'town', 'of', 'Dali', 'where']_0
southwestern_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_16_16_['on', 'June', '16', 'in', 'the']_['town', 'of', 'Dali', 'where', 'he']_0
town_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_17_17_['June', '16', 'in', 'the', 'southwestern']_['of', 'Dali', 'where', 'he', 'lives']_0
of_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_18_18_['16', 'in', 'the', 'southwestern', 'town']_['Dali', 'where', 'he', 'lives', 'a']_0
Dali_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_19_19_['in', 'the', 'southwestern', 'town', 'of']_['where', 'he', 'lives', 'a', 'writer']_0
where_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_20_20_['the', 'southwestern', 'town', 'of', 'Dali']_['he', 'lives', 'a', 'writer', 'who']_0
he_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_21_21_['southwestern', 'town', 'of', 'Dali', 'where']_['lives', 'a', 'writer', 'who', 'has']_0
lives_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_22_22_['town', 'of', 'Dali', 'where', 'he']_['a', 'writer', 'who', 'has', 'had']_0
a_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_23_23_['of', 'Dali', 'where', 'he', 'lives']_['writer', 'who', 'has', 'had', 'regular']_0
writer_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_24_24_['Dali', 'where', 'he', 'lives', 'a']_['who', 'has', 'had', 'regular', 'online']_0
who_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_25_25_['where', 'he', 'lives', 'a', 'writer']_['has', 'had', 'regular', 'online', 'contact']_0
has_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_26_26_['he', 'lives', 'a', 'writer', 'who']_['had', 'regular', 'online', 'contact', 'with']_0
had_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_27_27_['lives', 'a', 'writer', 'who', 'has']_['regular', 'online', 'contact', 'with', 'him']_0
regular_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_28_28_['a', 'writer', 'who', 'has', 'had']_['online', 'contact', 'with', 'him', '<name>Xu']_0
online_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_29_29_['writer', 'who', 'has', 'had', 'regular']_['contact', 'with', 'him', '<name>Xu', 'Hui</name>']_0
contact_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_30_30_['who', 'has', 'had', 'regular', 'online']_['with', 'him', '<name>Xu', 'Hui</name>', 'said']_0
with_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_31_31_['has', 'had', 'regular', 'online', 'contact']_['him', '<name>Xu', 'Hui</name>', 'said', 'by']_0
him_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_32_32_['had', 'regular', 'online', 'contact', 'with']_['<name>Xu', 'Hui</name>', 'said', 'by', 'telephone']_0
<name>Xu_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_33_33_['regular', 'online', 'contact', 'with', 'him']_['Hui</name>', 'said', 'by', 'telephone']_1
Hui</name>_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_34_34_['online', 'contact', 'with', 'him', '<name>Xu']_['said', 'by', 'telephone']_1
said_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_35_35_['contact', 'with', 'him', '<name>Xu', 'Hui</name>']_['by', 'telephone']_0
by_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_36_36_['with', 'him', '<name>Xu', 'Hui</name>', 'said']_['telephone']_0
telephone_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_1_37_37_['him', '<name>Xu', 'Hui</name>', 'said', 'by']_[]_0
The activist_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_2_0_1_[]_['<name>Lu', 'Yuyu</name>', 'was', 'taken', 'into']_0
activist <name>Lu_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_2_1_2_['The']_['Yuyu</name>', 'was', 'taken', 'into', 'custody']_0
<name>Lu Yuyu</name>_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_2_2_3_['The', 'activist']_['was', 'taken', 'into', 'custody', 'by']_1
Yuyu</name> was_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_2_3_4_['The', 'activist', '<name>Lu']_['taken', 'into', 'custody', 'by', 'the']_0
was taken_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_2_4_5_['The', 'activist', '<name>Lu', 'Yuyu</name>']_['into', 'custody', 'by', 'the', 'police']_0
taken into_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_2_5_6_['The', 'activist', '<name>Lu', 'Yuyu</name>', 'was']_['custody', 'by', 'the', 'police', 'on']_0
into custody_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_2_6_7_['activist', '<name>Lu', 'Yuyu</name>', 'was', 'taken']_['by', 'the', 'police', 'on', 'June']_0
custody by_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_2_7_8_['<name>Lu', 'Yuyu</name>', 'was', 'taken', 'into']_['the', 'police', 'on', 'June', '16']_0
by the_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_2_8_9_['Yuyu</name>', 'was', 'taken', 'into', 'custody']_['police', 'on', 'June', '16', 'in']_0
the police_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_2_9_10_['was', 'taken', 'into', 'custody', 'by']_['on', 'June', '16', 'in', 'the']_0
police on_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_2_10_11_['taken', 'into', 'custody', 'by', 'the']_['June', '16', 'in', 'the', 'southwestern']_0
on June_"/home/vibhor/Documents/839cs/CS-839-Data-Science/Stage_1_interim/temp/314.txt"_2_11_12_['into', 'custody', 'by', 'the', 'police']_['16', 'in', 'the', 'southwestern', 'town']_0
