id1,id2,label
2684,2129,0
1641,1169,1
1942,592,1
1758,1835,0
414,2847,0
855,1900,0
3046,2206,1
572,1550,0
2231,1745,1
2162,84,0
1069,988,0
267,2420,0
2796,854,1
2211,889,1
342,2052,1
2755,904,1
33,1837,0
813,2535,0
2383,579,0
2784,1089,0
960,923,0
2266,1306,0
2501,154,0
2784,1089,0
2317,545,0
1031,767,1
2835,923,0
1656,712,1
1291,2359,1
1964,1207,1
202,2117,0
1971,889,0
1758,2535,0
2134,2240,0
1224,2535,0
2211,2535,0
2847,1550,0
1390,2484,1
2252,2461,0
2867,2535,0
2322,1553,0
3033,988,0
2785,1403,0
2733,1779,0
2891,1725,0
1416,513,1
1186,2744,1
2308,2089,0
1993,697,1
134,2196,1
1680,2461,0
776,2219,1
2692,697,0
2495,1725,0
2735,1550,0
584,2901,0
2216,2213,1
2949,58,0
1626,2535,0
195,889,0
2534,2526,1
723,1196,1
2571,2870,0
1398,1089,0
2564,2535,0
2807,2874,1
105,2535,0
2916,2493,1
2123,1105,0
1009,1046,0
2000,2535,0
2450,2658,0
2240,1792,0
2594,801,1
1758,581,0
2304,1792,0
962,2847,1
1044,1725,0
3007,1310,1
381,934,1
2322,1940,0
273,2422,1
3029,2058,0
2633,788,0
926,2371,1
698,1063,0
163,1792,0
2380,2066,0
2417,1615,0
480,2170,0
2773,2535,0
843,1792,0
2134,2532,0
840,1591,0
2708,1222,0
1009,2178,1
1745,1792,0
1394,2793,0
1673,1792,0
1094,291,0
1508,1900,0
1730,672,0
125,2493,1
1937,1510,1
1253,2535,0
1709,2840,0
1718,1792,0
134,2196,1
1430,2535,0
1091,1900,1
1748,2847,0
1751,2761,0
1538,1550,0
1256,1900,0
1559,1274,1
1808,61,0
1976,1792,0
1028,844,0
1196,1900,0
1589,1207,1
1796,2535,0
1244,2604,1
1103,647,1
1418,586,1
1796,1792,0
182,1757,1
1724,1566,0
1340,1550,0
1745,2535,0
1808,1842,1
1277,1900,0
1541,2535,0
1895,2426,0
1193,2606,1
1658,1792,0
1160,2606,0
1613,1089,0
1943,677,0
1163,1778,1
182,2424,1
1259,2708,0
1214,2129,0
1718,2535,0
182,312,0
1751,989,0
1073,606,1
185,1792,0
1013,2614,1
1253,1792,0
1658,2535,0
1976,2535,0
1400,788,0
1415,1792,0
1520,923,0
1541,1792,0
1631,2691,1
1478,908,1
1724,2535,0
1751,746,0
1253,923,0
1745,2449,0
1112,2066,0
1751,778,0
1031,767,1
1142,38,1
1745,2847,0
1424,2089,0
182,520,0
1367,256,0
1175,2117,0
1253,2129,0
1658,2496,0
1895,1723,0
1964,1207,1
1025,2442,1
1196,38,0
1298,767,0
1598,2535,0
1886,2020,1
1115,58,0
1388,2319,1
1778,1840,1
1772,1419,1
1211,889,0
1211,1792,0
182,1509,0
1475,1021,0
1091,84,0
1973,2973,0
1751,878,1
1895,1515,1
1616,1419,0
164,2708,0
1751,2658,0
1430,1792,0
1211,2535,0
