name, author, rating, format, year
Waiting and Dating: A Sensible Guide to a Fulfilling Love Relationship,Myles Munroe,4.6,Kindle,2005
Shiftr: Swipe Left for Love (Niall): BBW Bear Shifter Romance (Hope Valley BBW Dating App Romance Book 14),Ariana Hawkes,4.9,Kindle,2019
Scrooge Me Again: Paranormal Shifter Holiday Romance (Paranormal Dating Agency Book 18),Milly Taiden,4.4,Kindle,2018
Red Flags: A Girl's Guide to Dating (1),,,Kindle,2019
Dating: On the Rebound: Eastridge Heights Basketball Players Book 2,Stephanie Street,4.6,Kindle,2019
The Dating Manifesto: A Drama-Free Plan for Pursuing Marriage with Purpose,,4.7,Audible Audiobook,2015
Dating You / Hating You,Christina Lauren,3.8,Kindle,2017
Dating Guru's 101 Conversation Starters: Expert Icebreakers for amazing dates so you'll never run out of things to say (Dating and Relationship Expert Secrets Book 1),James Preece,3.6,Kindle,2014
He’s Not That Interested~ He’s Just Passing Time: 40 Unmistakable Behaviors of Men Who Avoid Commitment and Play Games with Women,Bruce Bryans,4.5,Kindle,2015
Dating Smarts - What Every Teen Needs To Date~ Relate Or Wait,Amy Lang MA,4.6,Paperback,2016
The Dating Charade,Melissa Ferguson,,Paperback,2019
Sex~ Dating~ and Relationships: A Fresh Approach,Gerald Hiestand,4.2,Paperback,2012
Winter Takes All (Paranormal Dating Agency Book 19),Milly Taiden,4.7,Kindle,2019
To Date a Man~ You Must Understand a Man: The Keys to Catch a Great Guy (Relationship and Dating Advice for Women Book 7),Gregg Michaelsen,4.6,Kindle,2014
Dating Advice For Men: A Dating Guide On How To Be A Better Man~ Attract The Women You Want~ Have A Spectacular Relationship And Get More From Life.,Levi King,4.8,Paperback,2019
Dating-ish (Knitting in the City Book 6),Penny Reid,4.7,Kindle,2017
Dating For Dummies,Joy Browne,3.6,Paperback,2011
Understanding Men: Know What He's Really Thinking~ Show Him You're The One~  Why Men Pull Away~ Why He's Afraid To Commit &  How To Read Him Like A Book (Relationship and Dating Advice for Women 1),Alex Altman,3.9,Kindle,2015
Waiting While Dating: Christian Couples Who Kept God First from Courtship to Marriage,,5.0,Audible Audiobook,2019
From Diapers to Dating: A Parent's Guide to Raising Sexually Healthy Children - From Infancy to Middle School,,4.3,Paperback,2008
Paranormal Dating Agency Volume 1 (BBW Paranormal Shape Shifter Romance),Milly Taiden,4.6,Kindle,2015
Dating the It Guy,,3.7,Audible Audiobook,2017
Dating the Divorced Man: Sort Through the Baggage to Decide if He's Right for You,Christie Hartman,4.5,Kindle,2014
Boundaries in Dating Workbook,Henry Cloud,4.2,Paperback,2000
Attract Love At Any Age: The Ultimate Dating Guide For Single Women Over 40,Marlene Wagner,5.0,Kindle,2017
The Ultimate Online Dating Manual: Fill Your Calendar with Dates with the Women You Want to Meet,,4.3,Audible Audiobook,2018
The Online Dating Guide for Men: How to Get a Girlfriend~ Text~ Meet~ & Talk to Women on the Internet. Pickup on OkCupid~ Tinder~ Match.com~ Plenty of Fish (From Texting Girls to Alpha Confidence),,,Kindle,2018
The Detective's Match: A Sweet Fake Relationship Romance (Pretendr Dating App Series),Blake Andrews,4.1,Kindle,2019
Her Cougar Sunrise: Paranormal Dating Agency,Moxie  North,4.8,Kindle,2018
Dating Fabrics - A Color Guide - 1800-1960,Eileen Trestain,4.7,Paperback,1998
The Ten Commandments of Dating: Time-Tested Laws for Building Successful Relationships,Ben Young,4.5,Paperback,2012
The Winning Dating Formula For Women Over 50: 7 Steps To Attracting Quality Men,Lisa Copeland,4.0,Kindle,2013
Dating Radar: Why Your Brain Says Yes to"The One" Who Will Make Your Life Hell,,4.7,Audible Audiobook,2017
Dietrich (Bear Shifter Dating Agency Romance) (Bear Dating Agency Book 1),Becca Fanning,4.3,Kindle,2016
Scaling Her Dragon: BBW Paranormal Shape Shifter Romance (Paranormal Dating Agency Book 8),Milly Taiden,4.7,Kindle,2015
Biting Time: Paranormal Dating Agency (BBW in Charge Book 1),Rose Smith,3.1,Kindle,2019
Letters to a Romantic: On Dating,,4.8,Paperback,2017
Elite Dating Secrets: How The Top 1% of Men Meets~ Attracts~ and Dates Beautiful Women,Jon Anthony,5.0,Kindle,2019
The Perks of Dating You (Perks Book 1),Stephanie Street,4.4,Kindle,2017
Winter Wedding: Paranormal Dating Agency (Twilight Crossings Book 4),Jen Talty,4.5,Kindle,2019
Dating Coach For Men~ Understanding Men In Relationships: 9 Dating Success Secrets On How To Win The Woman Of Your Dreams & The Top 44 Irresistible Qualities Men Want In A Woman,,5.0,Kindle Edition,2017
Two Wedding Crashers (The Dating by Numbers Series Book 2),Meghan Quinn,4.6,Kindle,2018
21 Traps You Need to Avoid in Dating & Relationships,Brian Nox,4.7,Kindle,2015
The Secret to Dating Your Best Friend's Sister,Meghan Quinn,4.5,Kindle,2019
Playing With Fire: Paranormal Dating Agency (Otherworld Shifters Book 4),Godiva Glenn,4.8,Kindle,2019
Not Quite Dating,Catherine Bybee,4.4,Kindle,2012
The Billionaire Husband Test (Billionaire Online Dating Book 1),Elle James,4.5,Kindle,2012
Labor of Love: The Invention of Dating,Moira Weigel,3.9,Paperback,2017
Christian Dating in Godless World,,5.0,Paperback,2016
Dating Princeton Charming (The Princeton Charming Series Book 2),Frankie Love,4.6,Kindle,2019
Man-Eater: A Dating Metaphor,Just S.,,Paperback,2019
The Savior: Paranormal Nanny Services,Jadyn Chase,4.5,Kindle,2019
Dating and Sex: A Guide for the 21st Century Teen Boy,,4.4,Paperback,2016
Between Ice and Frost: Paranormal Dragon Romance (Paranormal Dating Agency Book 17),Milly Taiden,4.7,Kindle,2018
Whatever Is...: A Couple's Devotional for Christian Dating in a Secular World,Ryan C Vet,4.1,Paperback,2012
Riding Solo: How to Embrace Being Single and Prepare to Find Mr. Right (Relationship and Dating Advice for Women Book 21),Gregg Michaelsen,5.0,Kindle,2019
Secrets of Dating After Fifty: The Insider's Guide to Finding Love Again,Karen Haddigan,4.9,Paperback,2018
Caught Looking (Dating Mr. Baseball Book 2),Lucy McConnell,4.7,Kindle,2018
Dating Game: A Novel,Danielle Steel,4.3,Kindle,2009
Dating in Black & White: Keeping Relationships on Target,Adonis Lenzy,4.9,Paperback,2014
The Dating Game,Kiley Roache,3.1,Hardcover,2019
Paranormal Dating Agency Volume 2 (BBW Paranormal Shape Shifter Romance),Milly Taiden,4.8,Kindle,2015
40 Days of Dating: An Experiment,Jessica Walsh,4.4,Paperback,2015
Online Dating For Men: (The Quick Notes): Wasting Time? Find Your Match Faster with Game Changer Quick Tips - (2nd Edition),,4.4,Paperback,2016
Piece of Tail: BBW Paranormal Shape Shifter Romance (Paranormal Dating Agency Book 13),Milly Taiden,4.7,Kindle,2017
unashamed - candid conversations about dating~ love~ nakedness and faith,Tracy Levinson,4.8,Paperback,2016
25 Ways to Prepare for Marriage Other than Dating,Jamal Miller,4.7,Paperback,2014
100 & the One: A Modern Midlife Dating Memoir,,,Kindle Edition,2019
Dating Intervention: Do's and Don'ts to Dodge Disaster,,5.0,Paperback,2019
The Wolf’s Surprise Babies: A Paranormal Romance (Shifter Dating Service),Jasmine Wylder,4.7,Paperback,2019
Twisted Lies: Paranormal Dating Agency (Twisted Tail Pack Book 6),Melanie James,4.9,Kindle,2019
Online Dating For Women: (The Quick Notes): With Game Changer Quick Tips,,4.8,Paperback,2016
The Dating Dare,A.R. Perry,4.0,Kindle,2018
Dating with Pure Passion: More than Rules~ More than Courtship~ More than a Formula,Rob Eagar,4.2,Paperback,2005
Dr. R. A. Vernon's Ten Rules Of Dating: In The Social Media Age,,5.0,Kindle Edition,2018
Dating in the Dark: An Enemies to Lovers Trilogy (Dating Series Book 1),Alexandria Bishop,4.2,Kindle,2018
Dating a Widower: Starting a Relationship with a Man Who's Starting Over,Abel Keogh,4.1,Paperback,2011
Darak: Dakonian Alien Mail Order Brides #1 (Intergalactic Dating Agency),Cara Bristol,4.5,Kindle,2018
The Rules for Online Dating: Capturing the Heart of Mr. Right in Cyberspace,Ellen Fein,3.9,Kindle,2002
The Dating Experiment,Emma Hart,4.2,Kindle,2018
Oh~ Bite Me: Paranormal Dating Agency (Guardians of the Deep),Chris Genovese,4.9,Kindle,2018
The 10 Myths of Teen Dating: Truths Your Daughter Needs to Know to Date Smart~ Avoid Disaster~ and Protect Her Future,Daniel Anderson,4.7,Kindle,2016
Alpha Star: Big Sky Alien Mail Order Brides #1 (Intergalactic Dating Agency): Intergalactic Dating Agency,Elsa Jade,4.3,Kindle,2016
The Do's and Don'ts of Successful Online Dating,Chuck Miller,4.7,Kindle,2018
Dating the Enemy,Nicole Williams,4.3,Kindle,2018
The Guide to Dating for Teenagers With Asperger Syndrome,Jeannie Uhlenkamp,4.4,Paperback,2009
The Truth About Dating~ Love~ and Just Being Friends,Chad Eastham,4.4,Paperback,2011
Decoding Dating: A Guide to the Unwritten Social Rules of Dating for Men with Asperger Syndrome (Autism Spectrum Disorder),,4.8,Paperback,2014
Everybody~ Always: Becoming Love in a World Full of Setbacks and Difficult People,Bob Goff,4.9,Paperback,2018
The Art of Dating,Ellie Messe,4.9,Kindle,2018
Business Dating: Applying Relationship Rules in Business For Ultimate Success,Honoree Corder,4.9,Paperback,2015
Starting Out Together: A Devotional for Dating or Engaged Couples,H. Norman Wright,3.9,Paperback,1996
A Guide to the Dating Project,,,Paperback,2018
Meaningful Conversations for Dating Couples,,4.6,Paperback,2016
Caid: Dakonian Alien Mail Order Brides #3 (Intergalactic Dating Agency),Cara Bristol,4.6,Kindle,2018
Dating After 50 For Dummies,Pepper Schwartz,4.1,Paperback,2013
Young~ Dumb & Full of hmm...: How One Woman's Dating Journey Erased Her Good Sense~ a Memoir,I.R. Wright,5.0,Kindle,2019
Dating The Duke (Twickenham Time Travel Romance Book 8),Jen Geigle Johnson,4.3,Kindle,2019
Dating Manual For Single Women: 30 Steps To Take Before A 1st Date,Cheyenne Bostock,5.0,Paperback,2017
Stargazer Alien Mail Order Brides: Collection #1 (Intergalactic Dating Agency) (Stargazer Alien Mail Order Brides: Collections),Tasha Black,4.7,Kindle,2017
Dating with Purpose: A Story of How God Turned a Hot Mess into a Housewife,,4.8,Audible Audiobook,2018
His Twisted Tail: Paranormal Dating Agency (Twisted Tail Pack  Book 1),Melanie  James,4.5,Kindle,2018
Seriously Dating or Engaged: A Premarital Workbook for Couples,Becky Tirabassi,4.3,Workbook,
Dating Sarah Cooper,Siera Maley,4.5,Kindle,2014
Truth in Dating: Finding Love by Getting Real,,4.2,Paperback,2003
Dating Into Oblivion,Christopher Galbreath,,Paperback,2019
The Ten Commandments of Dating: Student Edition,Ben Young,4.5,Paperback,2004
Dating God: Live and Love in the Way of St. Francis,,4.0,Paperback,2012
The Dating Debate (Dating Dilemmas Book 1),Chris Cannon,4.3,Kindle,2018
The Dating App Confessions: Confessions and Advice Based on Real Experiences of Online Daters,,5.0,Paperback,2019
Supernatural Dating Agency - The Complete Collection (Books 1-6),Andie M. Long,4.8,Kindle,2019
Torel: Star-Crossed Alien Mail Order Brides (Intergalactic Dating Agency),Susan Hayes,4.6,Kindle,2018
Dating My Friend's Daughter,Penny Wylder,4.5,Kindle,2017
Dream Daddy: A Dad Dating Comic Book,,,Paperback,2019
Dating Smart: Navigating the Path to Marriage,,4.1,Paperback,2013
Mach One: Intergalactic Dating Agency (Cyborg Cowboys of Carbon County Book 1),Elsa Jade,4.7,Kindle,2018
The Alion King: BBW Paranormal Shape Shifter Romance (Paranormal Dating Agency Book 6),Milly Taiden,4.7,Kindle,2015
How To Get A Date Worth Keeping: Be Dating In Six Months Or Your Money Back,Henry Cloud,4.5,Paperback,2005
If You Really Loved Me: 100 Questions on Dating~ Relationships~ and Sexual Purity,Jason  Evert,4.5,Kindle,2017
Shiftr: Swipe Left for Love (Connor & Lauren): BBW Bear Shifter Romance (Hope Valley BBW Dating App Romance Book 12),Ariana Hawkes,4.8,Kindle,2017
The Ladybird Book of Dating (Ladybirds for Grown-Ups),Jason Hazeley,4.8,Hardcover,2016
The Geek's Guide to Dating,Eric Smith,3.7,Hardcover,2013
Rules for Dating a Married Man: How to Be a Good Mistress ~ An Essential Guide for Having an Affair With a Married Man,,3.7,Paperback,2015
Dating 101: Hot Dating Tips Guaranteed To Work For You: Dating Advice For Men and Women,,,Kindle Edition,2019
Dating Prep,Joshua Eze,5.0,Paperback,2018
The Dating Dance: How to Attract Women. Dating Advice for Men~ Written by a Woman: Discover how to talk to women and succeed in flirting!,Julia Gray,3.7,Kindle,2017
The Blind Date: Paranormal Dating Agency (Twilight Crossing Series Book 1),Jen Talty,4.6,Kindle,2018
The Right Match (Omega Dating Agency Book 1),Aiden Bates,4.3,Kindle,2018
Kiss My Asteroid: Galaxa Warriors (Paranormal Dating Agency Book 14),Milly Taiden,4.7,Kindle,2017
Divorce~ Drinking & Dating: The no-fail process to find out who you really are~ find your own freedom~ and have a few laughs along the way,,4.9,Paperback,2018
Awkward Adventures in Dating,Elsa Kurt,,Kindle,2019
Eight Simple Rules for Dating a Dragon: A Novel of the Embraced,Kerrelyn Sparks,4.4,Kindle,2018
No More Mr. Nice Guy,,4.5,Kindle,2010
Danger Signs of an Unhealthy Dating Relationship,,5.0,Paperback,2016
The Dating Game,Brenna Jacobs,4.6,Kindle,2019
Love Factually for Single Parents: [& Those Dating Them],Duana Welch,4.7,Paperback,2019
What To Say When You Talk To Your Self,Shad Helmstetter,4.6,Kindle,2011
Did She Reply Yet?  Online Dating Strategies for: Charming Profiles~ Irresistibl,Patrick King,4.0,Paperback,2016
Online Dating Success Secrets for Women 40/50+: How to Find True Lasting Love~ Attract your Love Hero~ Dump the Love Villains...Like I did!,Caryl Westmore,4.4,Paperback,2017
Their Royal Compromise: Paranormal Dating Agency (Otherworld Shifters Book 2),Godiva Glenn,4.8,Kindle,2018
Dating After Trauma: How to find the love of your life after experiencing an abusive relationship~ rape~ or sexual abuse,Emily Avagliano,4.1,Paperback,2013
Dating After Trauma: How to find the love of your life after experiencing an abusive relationship~ rape~ or sexual abuse,Emily Avagliano,4.1,Paperback,2013
Dating Game Secrets for Marrying a Good Man,,4.5,Kindle,2014
Dating Deal Breakers That Drive Men Away: 12 Relationship Killers That Ruin Your Long-Term Potential with High-Quality Men,Bruce Bryans,3.9,Kindle,2016
I Gave Dating a Chance: A Biblical Perspective to Balance the Extremes,Jeramy Clark,3.8,Paperback,2000
Dragon Got Your Tongue: Paranormal Dating Agency (Dragon Guard Book 24),Julia  Mills,4.7,Kindle,2018
I Kissed Dating Goodbye: A New Attitude Toward Relationships and Romance,Joshua Harris,4.4,Paperback,1997
121 First Dates: How to Succeed at Online Dating~ Fall in Love~ and Live Happily Ever After (Really!),Wendy Newman,4.7,Kindle,2016
Sun in the Oven: Galaxa Warriors (Paranormal Dating Agency Book 16),Milly Taiden,4.7,Kindle,2018
For the Love of Fire and Ice: Paranormal Dating Agency (Heads N’ Tails Series),Roxanne Witherell,4.8,Kindle,2018
Dating an Alien Pop Star (The Alien Pop Star Series Book 1),Kendra L. Saunders,4.3,Kindle,2016
You're Lion to Me (Paranormal Dating Agency Book 20),Milly Taiden,4.8,Kindle,2019
Conscious Dating: Finding the Love of Your Life & the Life That You Love,David Steele,4.2,Paperback,2007
Mars and Venus on a Date: A Guide for Navigating the 5 Stages of Dating to Create a Loving and Lasting Relationship,John Gray,4.5,Kindle,2009
The Dating Alternative,Jennifer Woodhull,4.4,Kindle,2018
A Purrfect Trifecta: Paranormal Dating Agency,Rebel West,3.9,Kindle,2018
Mastering the Adventure of International Dating: Real answers and straight talk for Gen Y-ers~ Gen X-ers and Boomers to finding Romance in Eastern Europe~ Latin America and Asia,Mark Edward Davis,4.8,Paperback,2009
The Nonreligious Guide to Dating & Being Single,Shawn Bolz,4.3,Paperback,
Easy Does It Dating Guide: For People in Recovery,,4.1,Paperback,2004
Caleb's Salvation (Alaska Dating Games Book 4),S Doyle,4.2,Kindle,2019
The Anxious Girl's Guide to Dating: How to find romance while also being really~ really nervous.,,5.0,Paperback,2015
Stupid Cupid: A Survivor's Guide to Online Dating,,4.9,Kindle,2017
Stop Dating the Church!: Fall in Love with the Family of God (LifeChange Books),Joshua Harris,4.3,Hardcover,2004
Born with a Silver Moon: Galaxa Warriors (Paranormal Dating Agency Book 15),Milly Taiden,4.7,Kindle,2018
Boundaries in Dating Participant's Guide,Henry Cloud,4.0,Paperback,2001
Sex~ Lies~ and Online Dating: The Writer Friends Series~ Book 1,,4.2,Audible Audiobook,2015
In The Roar: BBW Paranormal Shape Shifter Romance (Paranormal Dating Agency Book 9),Milly Taiden,4.7,Kindle,2015
In Dire Straits: Paranormal Dating Agency,MJ Nightingale,,Kindle,2018
Straight Talk About Teen Dating   If I'd only known the truth about . . .: A guide to dating from a Christian perspective for pre-teens and teens   Second Edition,,4.4,Paperback,2011
Fake Dating Her Best Friend's Brother: A Sweet Basketball Romance (Love on the Court Book 1),Tia Souders,4.2,Kindle,2018
Becoming Mr. Right: A Young Man's Guide to God-Honoring Relationships,Michael J Daniels,4.9,Paperback,2017
You Lost Him at Hello: From Dating to "I Do"―Secrets from One of America's Top Dating Coaches,Jess McCann,4.3,Paperback,2013
Conscious Dating: Finding the Love of Your Life & the Life That You Love,David Steele,4.2,Paperback,2007
Dating on the Nerdy Side: Wynter Series Book One (The Wynter Series 1),L.S. Tabak,5.0,Kindle,2019
The Whole Guy Thing: What Every Girl Needs to Know about Crushes~ Friendship~ Relating~ and Dating,,3.8,Paperback,2012
Seduction Simplified: How to Build an Attractive Personality Through Personal Development to Attract Women,German Muhlenberg,4.8,Kindle,2017
No Wake Zone: Paranormal Dating Agency (Making Waves Book 4),Savannah Verte,4.4,Kindle,2019
The Stories We Tell Ourselves: Mentalizing Tales of Dating and Marriage,J. Mark Thompson,5.0,Kindle,2013
Dating Vietnamese Women (My Saigon),Elly Thuy Nguyen,5.0,Paperback,2017
Dating vs. Courtship: and Everything in Between,,5.0,Paperback,2016
Dating Your Wife: A 10-Date Plan to Reignite Your Marriage as an Awesome Husband (Men’s Advice for New World Dudes),Gregg Akkerman,,Paperback,2019
The Dating Fast: 40 Days to Reclaim Your Heart~ Body~ and Soul,,5.0,Paperback,2012
The Catholic Guide to Dating After Divorce: Cultivating the Five Qualities That Free You to Love,Lisa Duffy,4.8,Kindle,2015
Dating Tips for Women: How to Talk to Men~ How to Attract Men~ Relationship Advice for Women~ Dating Advice for Women~ How to Make a Man Love You~ Getting Men to Open Up and Start a Conversation,Paul Clooney,4.7,Kindle,2018
Great Myths of Intimate Relationships: Dating~ Sex~ and Marriage (Great Myths of Psychology),Matthew D. Johnson,3.6,Kindle,2016
The Professional Bachelor Dating Guide - How to Exploit Her Inner Psycho,Brett Tate,3.5,Paperback,2007
Principles of Radiometric Dating,,,Hardcover,2017
MENS DATING LITTLE BLACKBOOK: SEDUCTION~ DAYGAME & HOW TO TALK TO GIRLS: Download on amazon kindle. Attract women with this seduction guide. Seduction secrets and attraction explained for men,,,Kindle Edition,2018
Master Online Dating: 100 Secrets to Online Dating Success,,5.0,Audible Audiobook,2018
Master Online Dating: 100 Secrets to Online Dating Success,,5.0,Audible Audiobook,2018
the new rules: the dating dos and don'ts for the digital generation from the bestselling authors of the rules. ellen fein~ sherrie sc,,3.9,Paperback,2013
The Way to a Bear's Heart: Paranormal Dating Agency (Aurora Champions Book 1),Ophelia Bell,4.8,Kindle,2018
The Dating Game Killer: The True Story of a TV Dating Show~ a Violent Sociopath~ and a Series of Brutal Murders (St. Martin's True Crime Library),Stella Sands,4.1,Kindle,2011
Dr. Henry Cloud & Dr. John Townsend~ Boundaries in Dating: How Healthy Choices Grow Healthy Relationships,,5.0,Paperback,1992
Online Dating For Women Over 40: The Hopeful Woman's 10 Step Guide to Enjoyment and Success,Christie Jordan,4.5,Paperback,2013
Dating Declassified: The Uncensored Truth About Friendship~ Dating and Sex,Jeanne Mayo,5.0,Paperback,2010
Adamant Eve: Paranormal Dating Agency (Gemma-Hydrox  Book 2),LJ Vickery,4.9,Kindle,2019
Wolf A Bye Baby: Paranormal Dating Agency,Rebel West,4.6,Kindle,2018
How to Attract Your Ideal Partner: Find Romance with a Passionate Man or Woman in Your Dating Relationships,Michael Moore,4.6,Kindle,2017
Love and Dating in the 21st Century: A Godly Girl's Guide,,4.3,Paperback,2017
Dating Mr. Mogul,Mel Ryle,3.6,Kindle,2016
Disposable: When Dating Is Not Loving Your Neighbor,Daniel E. Johnson,5.0,Paperback,2019
The Magnolia Chronicles: Adventures in Modern Dating,Kate Canterbary,4.8,Kindle,2019
Boy's Guide to Girls: 30 Pointers You Won't Get From Your Parents or Friends,Gary J. Campbell MS  BSW,4.3,Paperback,2012
How to Spot A Player: Every trick in the book exposed (Practical Dating Advice for Women 1),,4.5,Kindle,2019
Love for the Cold-Blooded: Or: The Part-Time Evil Minion’s Guide to Accidentally Dating a Superhero.,Alex Gabriel,4.6,Kindle,2014
All Kitten Aside: BBW Paranormal Shape Shifter Romance (Paranormal Dating Agency Book 11),Milly Taiden,4.7,Kindle,2016
The Alphabet of Dating,Joseph Anthony,4.8,Paperback,2015
Dating Into Oblivion,Christopher Galbreath,,Kindle,2019
How to Answer Dumb Dating Questions,India Kang,4.0,Paperback,2017
A Royal Pain: Paranormal Dating Agency (Otherworld Shifters  Book 3),Godiva Glenn,4.7,Kindle,2018
Dating Is Not for Marriage,Jason Fanning,4.8,Paperback,2016
All My Bad F*cking Dates (write that sh*t down): Funny Gag Dating Diary Journal (Joke Presents For Female Best Friends~ Sisters and Single Women (Blank Lined Journal),,,Paperback,2018
Best Dating Rules: A Romantic Comedy (The Best Girls Book 2),Tamie Dearen,4.5,Kindle,2014
The Catch Your Match Formula: How To Create An Online Dating Profile That Really Gets Results!,,4.9,Kindle,2015
Your Story~ Our Story: Intentionally Dating on Purpose,,5.0,Paperback,2016
Dating The Prince: A Royal Romance Comedy (What If Book 1),Alina Snow,3.6,Kindle,2018
Real Love in Dating: The Truth About Finding the Perfect Partner,,4.1,Audible Audiobook,2016
Building Relationships: Online Dating and the New Logics of Internet Culture,,,Paperback,2017
250 Speed Dating Questions - Your Guide to Dating Success,Connor Champion,3.9,Kindle,2013
Jessica's Guide to Dating on the Dark Side,,4.2,Audible Audiobook,2009
Jessica's Guide to Dating on the Dark Side,,4.2,Audible Audiobook,2009
Love is in the Mouse: Online Dating for Women: Crush your Rivals and Start Dating Extraordinary Men (Relationship and Dating Advice for Women) (Volume 5),Gregg Michaelsen,4.7,Paperback,2017
Dating the Older Man: Consider Your Differences and Decide if He's Right for You,Belisa Vranich,4.2,Paperback,2008
Quaternary Dating Methods: An Introduction,,5.0,Kindle,2008
First Date Next Mate: Perspectives in Dating the "Next" Time Around,Elizabeth B.  Lewis,5.0,Kindle,2018
Love at First Site: Tips and Tales for Online Dating Success from a Modern-Day Matchmaker,Erika Ettin,4.8,Paperback,2014
You Probably Shouldn't Write That: Tips and Tricks for Creating an Online Dating Profile That Doesn't Suck,Lisa Hoehn,4.3,Kindle,2015
Dating after Divorce: Preparing for a New Relationship,David Frisbie,3.5,Kindle,2012
Broken Hill Havoc: The Broken Hill High Series (Book 5),Sheridan Anne,4.8,Kindle,2019
Single~ Shy~ and Looking for Love: A Dating Guide for the Shy and Socially Anxious,,4.8,Kindle,2014
The New Rules for Love~ Sex~ and Dating by Andy Stanley (2015-01-06),,4.7,MP3 CD,
DATING MY VIBRATOR (and other true fiction),Suzanne Tyrpak,3.1,Kindle Edition,2010
Path of the Golden Heart: Conscious Dating in an Unconscious World,Cindy Jarrett,5.0,Paperback,2015
Catholic Dating: 10 important topics to discuss,,,Kindle Edition,2017
Autistics' Guide to Dating: A Book by Autistics~ for Autistics and Those Who Love Them or Who Are in Love with Them,Emilia Murry Ramey,4.1,Paperback,2008
Dr. R.A. Vernon's 10 Rules of Dating,,4.6,Kindle,2014
Dating the Prince (Lindzee's Royal Secrets Book 2),Lindzee Armstrong,4.5,Kindle,2018
The Dating Coach Workbook: Combining Therapy and Marketing for a Happy~ Healthy and Successful Dating Life (Volume 1),,,Paperback,2012
