title, author, rating, format, pages, publish_date
The Outsiders,S.E. Hinton,4.08,Mass Market Paperback,192,September 1st 1997
The Color Purple,Alice Walker,4.19,Paperback,295,April 1st 2004
Where the Sidewalk Ends,Shel Silverstein,4.30,Hardcover,176,November 2002
One Hundred Years of Solitude,Gabriel García Márquez,4.06,Hardcover,417,June 24th 2003
Where the Wild Things Are,Maurice Sendak,4.22,Paperback,37,2000
A Thousand Splendid Suns,Khaled Hosseini,4.36,Hardcover,372,June 1st 2007
Anne of Green Gables (Anne of Green Gables #1),L.M. Montgomery,4.24,Paperback,320,May 6th 2003
Ender's Game (Ender's Saga #1),Orson Scott Card,4.30,Mass Market Paperback,324,July 1994
The Adventures of Tom Sawyer,Mark Twain,3.90,Paperback,244,February 28th 2006
A Tale of Two Cities,Charles Dickens,3.83,Paperback,489,2003
Life of Pi,Yann Martel,3.90,Paperback,460,August 29th 2006
The Count of Monte Cristo,Alexandre Dumas,4.24,Paperback,1276,May 27th 2003
One Flew Over the Cuckoo's Nest,Ken Kesey,4.19,Mass Market Paperback,325,February 1st 1963
Animal Farm,George Orwell,3.91,Paperback,95,March 15th 2011
Oh The Places You'll Go!,Dr. Seuss,4.35,Hardcover,44,January 22nd 1990
Anna Karenina,Leo Tolstoy,4.04,Paperback,964,October 16th 2012
Winnie-the-Pooh (Winnie-the-Pooh #1),A.A. Milne,4.34,Hardcover,145,October 1st 2001
Flowers for Algernon,Daniel Keyes,4.11,Paperback,311,May 1st 2005
Tuesdays with Morrie,Mitch Albom,4.09,Paperback,210,2000
The Grapes of Wrath,John Steinbeck,3.95,Hardcover,479,April 10th 2014
The Fellowship of the Ring (The Lord of the Rings #1),J.R.R. Tolkien,4.35,Paperback,398,September 5th 2003
Slaughterhouse-Five,Kurt Vonnegut,4.07,Paperback,275,January 12th 1999
Catch-22,Joseph Heller,3.98,Paperback,453,September 4th 2004
Frankenstein,Mary Wollstonecraft Shelley,3.78,Paperback,288,March 8th 2018
The Old Man and the Sea,Ernest Hemingway,3.75,Hardcover,132,1996
The Handmaid's Tale,Margaret Atwood,4.09,Paperback,344,March 16th 1998
The Scarlet Letter,Nathaniel Hawthorne,3.39,Paperback,279,February 27th 2003
Macbeth,William Shakespeare,3.89,Mass Market Paperback,246,July 1st 2013
Twilight (Twilight #1),Stephenie Meyer,3.58,Paperback,498,September 6th 2006
The Time Traveler's Wife,Audrey Niffenegger,3.96,ebook,500,September 23rd 2013
Lolita,Vladimir Nabokov,3.89,Paperback,417,1995
Siddhartha,Hermann Hesse,4.01,Mass Market Paperback,152,December 1st 1981
The Metamorphosis,Franz Kafka,3.80,Paperback,201,March 1st 1972
The Stranger,Albert Camus,3.97,Paperback,123,March 28th 1989
Goodnight Moon,Margaret Wise Brown,4.27,Hardcover,32,January 23rd 2007
A Tree Grows in Brooklyn,Betty  Smith,4.26,Paperback,496,May 30th 2006
War and Peace,Leo Tolstoy,4.10,Paperback,1392,June 25th 1998
The Little House Collection (Little House #1-9),Laura Ingalls Wilder,4.34,Boxed Set,2700,October 7th 2003
A Clockwork Orange,Anthony Burgess,3.99,Paperback,192,1989
All Quiet on the Western Front,Erich Maria Remarque,3.95,Mass Market Paperback,296,March 12th 1987
The Stand,Stephen King,4.34,Hardcover,1153,May 1st 1990
Uncle Tom's Cabin,Harriet Beecher Stowe,3.85,Paperback,438,August 5th 1999
Don Quixote,Miguel de Cervantes Saavedra,3.86,Paperback,1023,February 25th 2003
Harry Potter and the Chamber of Secrets (Harry Potter #2),J.K. Rowling,4.41,Hardcover,341,June 2nd 1999
Qurʾan / القرآن الكريم,Anonymous,4.34,Hardcover,604,650
Atlas Shrugged,Ayn Rand,3.68,Paperback,1168,August 1st 1999
The Brothers Karamazov,Fyodor Dostoyevsky,4.32,Paperback,796,June 14th 2002
The Poisonwood Bible,Barbara Kingsolver,4.05,Hardcover,546,July 5th 2005
The Book of Mormon: Another Testament of Jesus Christ,Anonymous,4.37,Paperback,531,2013
Moby-Dick or the Whale,Herman Melville,3.49,Paperback,720,February 21st 2003
I Know Why the Caged Bird Sings,Maya Angelou,4.22,Paperback,289,November 1993
The Good Earth (House of Earth #1),Pearl S. Buck,3.98,Paperback,418,March 4th 2009
The Hiding Place: The Triumphant True Story of Corrie Ten Boom,Corrie ten Boom,4.41,Paperback,242,October 1st 1984
Great Expectations,Charles Dickens,3.76,Paperback,505,1998
The Da Vinci Code (Robert Langdon #2),Dan Brown,3.82,Paperback,489,March 28th 2006
Dracula,Bram Stoker,3.99,Paperback,488,May 12th 1986
A Wrinkle in Time (Time Quintet #1),Madeleine L'Engle,4.01,Paperback,218,November 7th 2017
The Fault in Our Stars,John Green,4.24,Hardcover,313,January 10th 2012
Matilda,Roald Dahl,4.30,Paperback,240,June 1st 1998
The Perks of Being a Wallflower,Stephen Chbosky,4.20,Paperback,213,February 1999
Harry Potter Series Box Set (Harry Potter #1-7),J.K. Rowling,4.74,Hardcover,4100,October 1st 2007
Sense and Sensibility,Jane Austen,4.06,Paperback,409,April 29th 2003
Brave New World,Aldous Huxley,3.98,Paperback,288,September 1st 1998
The Iliad,Homer,3.85,Paperback,683,April 29th 1999
The Princess Bride,William Goldman,4.26,Paperback,398,July 15th 2003
The Tell-Tale Heart and Other Writings,Edgar Allan Poe,4.16,Mass Market Paperback,448,September 28th 2004
Where the Red Fern Grows,Wilson Rawls,4.06,Mass Market Paperback,272,May 9th 2000
East of Eden,John Steinbeck,4.36,Paperback,601,2002
The Lorax,Dr. Seuss,4.35,Hardcover,72,February 24th 1998
The Declaration of Independence and The Constitution of the United States,Founding Fathers,4.45,Paperback,112,July 1st 1998
The Curious Incident of the Dog in the Night-Time,Mark Haddon,3.87,Paperback,226,May 18th 2004
Watership Down (Watership Down #1),Richard  Adams,4.06,Mass Market Paperback,478,June 1975
Catching Fire (The Hunger Games #2),Suzanne Collins,4.29,Hardcover,391,September 1st 2009
The Last Lecture,Randy Pausch,4.26,Hardcover,206,April 8th 2008
Charlie and the Chocolate Factory,Roald Dahl,4.12,Paperback,176,June 2nd 2005
A Game of Thrones (A Song of Ice and Fire #1),George R.R. Martin,4.45,Mass Market Paperback,848,August 2005
Man's Search for Meaning,Viktor E. Frankl,4.35,Paperback,165,June 1st 2006
The Fountainhead,Ayn Rand,3.86,Mass Market Paperback,704,September 1st 1996
The Velveteen Rabbit,Margery Williams Bianco,4.29,Paperback,40,April 1st 1987
The Bell Jar,Sylvia Plath,3.99,Paperback,294,2006
Alice in Wonderland,Jane Carruth,4.03,Hardcover,92,September 7th 2004
The Lovely Bones,Alice Sebold,3.79,Mass Market Paperback,328,September 1st 2006
Rebecca,Daphne du Maurier,4.22,ebook,449,December 17th 2013
The Five People You Meet in Heaven,Mitch Albom,3.92,Paperback,196,September 23rd 2003
The Call of the Wild,Jack London,3.85,Paperback,172,January 1st 2001
Perfume: The Story of a Murderer,Patrick Süskind,4.02,Paperback,263,1987
Dune (Dune Chronicles #1),Frank Herbert,4.21,Paperback,604,June 1st 2006
The Girl with the Dragon Tattoo (Millennium #1),Stieg Larsson,4.13,Hardcover,465,September 16th 2008
The Return of the King (The Lord of the Rings #3),J.R.R. Tolkien,4.52,Mass Market Paperback,490,2003
Animal Farm / 1984,George Orwell,4.28,Hardcover,400,June 1st 2003
The Wonderful Wizard of Oz (Oz #1),L. Frank Baum,3.99,Paperback,154,1995
And Then There Were None,Agatha Christie,4.25,Paperback,264,May 3rd 2004
Angela's Ashes (Frank McCourt #1),Frank McCourt,4.09,Paperback,452,October 3rd 2005
A Prayer for Owen Meany,John Irving,4.23,Paperback,637,1990
Love You Forever,Robert Munsch,4.35,Paperback,32,September 1st 1995
A Midsummer Night's Dream,William Shakespeare,3.94,Paperback,298,July 2016
The Divine Comedy,Dante Alighieri,4.07,Hardcover,798,August 1st 1995
The Road,Cormac McCarthy,3.96,Hardcover,241,September 26th 2006
The Two Towers (The Lord of the Rings #2),J.R.R. Tolkien,4.43,Paperback,322,September 5th 2003
Bridge to Terabithia,Katherine Paterson,3.99,Kindle Edition,190,October 6th 2009
The Three Musketeers (The D'Artagnan Romances #1),Alexandre Dumas,4.07,Paperback,625,February 13th 2001
Persuasion,Jane Austen,4.13,Paperback,249,March 18th 2004
The Name of the Rose,Umberto Eco,4.12,Paperback,536,September 28th 1994
The Prophet,Kahlil Gibran,4.23,Paperback,127,January 1st 2010
Water for Elephants,Sara Gruen,4.08,Paperback,335,May 1st 2007
The Golden Compass (His Dark Materials #1),Philip Pullman,3.96,Hardcover,399,April 16th 1996
How the Grinch Stole Christmas!,Dr. Seuss,4.36,Hardcover,64,October 4th 2004
The Notebook (The Notebook #1),Nicholas Sparks,4.08,Hardcover,214,July 5th 2004
Jonathan Livingston Seagull,Richard Bach,3.82,Paperback,112,February 7th 2006
The Pillars of the Earth (Kingsbridge #1),Ken Follett,4.31,Paperback,973,February 4th 2002
Oliver Twist,Charles Dickens,3.86,Paperback,608,2003
The Boy in the Striped Pajamas,John Boyne,4.13,Hardcover,224,September 12th 2006
The Secret Life of Bees,Sue Monk Kidd,4.03,Paperback,336,January 28th 2003
The Red Tent,Anita Diamant,4.17,Hardcover,336,November 1st 2005
The Complete Sherlock Holmes,Arthur Conan Doyle,4.51,Paperback,1796,October 1st 1986
The Crucible,Arthur  Miller,3.56,Paperback,143,March 25th 2003
Mockingjay (The Hunger Games #3),Suzanne Collins,4.03,Hardcover,392,August 24th 2010
The Master and Margarita,Mikhail Bulgakov,4.31,Paperback,335,March 1996
Love in the Time of Cholera,Gabriel García Márquez,3.90,Paperback,348,October 5th 2003
The Gift of the Magi,O. Henry,4.08,Hardcover,32,October 3rd 2006
Heart of Darkness,Joseph Conrad,3.42,Paperback,188,October 1st 2003
The Shadow of the Wind (The Cemetery of Forgotten Books #1),Carlos Ruiz Zafón,4.26,Paperback,487,January 25th 2005
In Cold Blood,Truman Capote,4.07,Paperback,343,1994
Interview with the Vampire (The Vampire Chronicles #1),Anne Rice,3.99,Paperback,342,August 31st 2004
Eat Pray Love,Elizabeth Gilbert,3.54,Paperback,368,February 1st 2007
The Unbearable Lightness of Being,Milan Kundera,4.09,Paperback,320,October 27th 2009
On the Road,Jack Kerouac,3.63,Paperback,307,January 1st 1976
The Canterbury Tales,Geoffrey Chaucer,3.49,Paperback,504,January 30th 2003
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.59,Mass Market Paperback,1728,September 25th 2012
Aesop's Fables,Aesop,4.05,Paperback,306,April 10th 2003
The Glass Castle,Jeannette Walls,4.26,Paperback,288,January 17th 2006
Fight Club,Chuck Palahniuk,4.20,Paperback,218,October 17th 2005
Gulliver's Travels,Jonathan Swift,3.56,Paperback,306,January 30th 2003
The Screwtape Letters,C.S. Lewis,4.22,Hardcover,223,October 8th 2013
Invisible Man,Ralph Ellison,3.85,Paperback,581,February 1st 1995
Robinson Crusoe,Daniel Defoe,3.66,Paperback,320,June 12th 2001
Walden,Henry David Thoreau,3.79,Paperback,352,April 18th 2004
The Grapes of Wrath,John Steinbeck,3.95,Paperback,455,January 8th 2002
The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,3.80,Paperback,144,September 2nd 2003
Sophie's World,Jostein Gaarder,3.91,Paperback,403,1995
The Art of War,Sun Tzu,3.97,Paperback,273,January 11th 2005
The Origin of Species,Charles Darwin,3.99,Hardcover,703,May 1st 2004
The Godfather,Mario Puzo,4.37,Paperback,448,March 1st 2002
The Complete Grimm's Fairy Tales,Jacob Grimm,4.31,Paperback,880,September 12th 1976
The Trial,Franz Kafka,3.98,Paperback,255,April 9th 2001
Roots: The Saga of an American Family,Alex Haley,4.43,Mass Market Paperback,729,November 1st 1977
Watchmen (Watchmen #1-12),Alan Moore,4.36,Paperback,416,2005
The Time Machine,H.G. Wells,3.88,Paperback,118,October 1st 2002
Candide,Voltaire,3.76,Paperback,129,January 1st 1991
The Prince,Niccolò Machiavelli,3.80,Paperback,140,June 1st 2003
Emma,Jane Austen,3.99,Paperback,474,May 6th 2003
Go Ask Alice,Beatrice Sparks,3.76,Paperback,213,January 1st 2006
Blood River: A Journey to Africa's Broken Heart,Tim Butcher,4.05,Paperback,363,January 3rd 2008
Atonement,Ian McEwan,3.89,Paperback,351,March 2003
The Mists of Avalon (Avalon #1),Marion Zimmer Bradley,4.12,Paperback,884,April 12th 1984
زندگی مه آلود پریا,سید مرتضی مصطفوی,3.92,ebook,204,January 1st 2015
The Sun Also Rises,Ernest Hemingway,3.82,Paperback,189,1957
My Sister's Keeper,Jodi Picoult,4.07,Paperback,423,February 1st 2005
Tuck Everlasting,Natalie Babbitt,3.87,Paperback,139,November 1st 1985
Beloved,Toni Morrison,3.80,Paperback,324,June 8th 2004
Stranger in a Strange Land,Robert A. Heinlein,3.91,Paperback,528,October 1st 1991
The Tale of Peter Rabbit,Beatrix Potter,4.17,Hardcover,72,March 7th 2002
Divergent (Divergent #1),Veronica Roth,4.21,Paperback,487,February 28th 2012
The Phantom Tollbooth,Norton Juster,4.21,Paperback,256,1996
Mere Christianity,C.S. Lewis,4.32,Paperback,191,June 1st 1996
Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time,Greg Mortenson,3.64,Paperback,349,January 30th 2007
Number the Stars,Lois Lowry,4.13,Mass Market Paperback,137,February 9th 1998
Bury My Heart at Wounded Knee: An Indian History of the American West,Dee Brown,4.22,Paperback,509,January 23rd 2001
James and the Giant Peach,Roald Dahl,4.00,Hardcover,146,September 10th 2002
The Things They Carried,Tim O'Brien,4.13,Paperback,246,December 29th 1998
The Constitution of the United States of America,Founding Fathers,4.54,Paperback,30,January 1st 1970
Leaves of Grass,Walt Whitman,4.12,Paperback,624,August 1st 2006
The Ultimate Hitchhiker's Guide to the Galaxy,Douglas Adams,4.38,Paperback,815,April 30th 2002
Middlesex,Jeffrey Eugenides,3.99,Paperback,529,September 16th 2003
Murder on the Orient Express (Hercule Poirot #10),Agatha Christie,4.16,Paperback,274,June 4th 2007
The Essential Calvin and Hobbes: A Calvin and Hobbes Treasury,Bill Watterson,4.64,Paperback,256,September 1988
Their Eyes Were Watching God,Zora Neale Hurston,3.90,Paperback,219,May 30th 2006
Into the Wild,Jon Krakauer,3.97,Paperback,207,January 20th 1997
Schindler's List,Thomas Keneally,4.34,Paperback,429,February 17th 1994
A Child Called "It" (Dave Pelzer #1),Dave Pelzer,4.10,Paperback,184,September 1st 1995
The Complete Maus (Maus #1-2),Art Spiegelman,4.55,Paperback,296,October 2nd 2003
The Autobiography of Malcolm X,Malcolm X,4.31,Paperback,466,by Ballantine Books (first published 1965)
The World According to Garp,John Irving,4.08,Hardcover,610,April 1st 1999
A Little Princess,Frances Hodgson Burnett,4.19,Paperback,242,February 26th 2002
Speak,Laurie Halse Anderson,4.01,Paperback,208,April 1st 2001
The Wind in the Willows,Kenneth Grahame,3.99,Paperback,256,October 27th 2005
Peter Pan,J.M. Barrie,4.09,Hardcover,176,October 1st 2003
The Secret Magdalene,Ki Longfellow,4.10,Hardcover,448,March 27th 2007
A People's History of the United States,Howard Zinn,4.08,Paperback,729,August 2nd 2005
The Hound of the Baskervilles,Arthur Conan Doyle,4.10,Mass Market Paperback,256,July 1st 2001
The Republic,Plato,3.93,Paperback,416,February 25th 2003
Looking for Alaska,John Green,4.05,Paperback,221,December 28th 2006
The Lightning Thief (Percy Jackson and the Olympians #1),Rick Riordan,4.24,Paperback,377,March 1st 2006
American Gods,Neil Gaiman,4.11,Kindle Edition,635,June 21st 2011
Holes (Holes #1),Louis Sachar,3.95,Paperback,233,September 2nd 2000
The Story of My Life,Helen Keller,4.08,Paperback,240,May 1st 1990
A Farewell to Arms,Ernest Hemingway,3.80,Paperback,293,2004
The Complete Fairy Tales,Hans Christian Andersen,4.28,Hardcover,803,January 1996
A Short History of Nearly Everything,Bill Bryson,4.20,Paperback,544,September 14th 2004
A Separate Peace,John Knowles,3.57,Paperback,208,September 30th 2003
The Shack,William Paul Young,3.75,Paperback,252,July 1st 2007
Good Omens: The Nice and Accurate Prophecies of Agnes Nutter Witch,Terry Pratchett,4.25,Mass Market Paperback,412,November 28th 2006
Cat's Cradle,Kurt Vonnegut,4.17,Paperback,306,1999
Things Fall Apart,Chinua Achebe,3.64,Paperback,209,September 1st 1994
Blindness,José Saramago,4.10,Kindle Edition,349,August 23rd 2013
Madame Bovary,Gustave Flaubert,3.66,Paperback,329,2004
Fried Green Tomatoes at the Whistle Stop Cafe,Fannie Flagg,4.27,Hardcover,416,May 7th 2002
Island of the Blue Dolphins (Island of the Blue Dolphins #1),Scott O'Dell,3.82,Paperback,184,February 1st 1987
A Brief History of Time,Stephen Hawking,4.16,Paperback,212,September 1st 1998
The Joy Luck Club,Amy Tan,3.91,Paperback,288,September 21st 2006
A Confederacy of Dunces,John Kennedy Toole,3.89,Paperback,416,January 1994
The God Delusion,Richard Dawkins,3.90,Hardcover,374,October 18th 2006
Sophie's Choice,William Styron,4.19,Paperback,562,March 3rd 1992
The Raven,Edgar Allan Poe,4.28,Paperback,64,April 25th 1996
Flow Down Like Silver: Hypatia of Alexandria,Ki Longfellow,4.44,Paperback,301,August 20th 2009
The Neverending Story,Michael Ende,4.18,Hardcover,396,1997
Extremely Loud and Incredibly Close,Jonathan Safran Foer,3.98,Paperback,326,April 4th 2006
The Clan of the Cave Bear (Earth's Children #1),Jean M. Auel,4.04,Paperback,512,June 25th 2002
Tess of the D'Urbervilles,Thomas Hardy,3.79,Paperback,518,January 30th 2003
Eclipse (Twilight #3),Stephenie Meyer,3.69,Hardcover,629,August 7th 2007
The Tao of Pooh,Benjamin Hoff,4.02,Paperback,176,February 6th 2003
Tao Te Ching,Lao Tzu,4.32,Paperback,160,August 28th 1989
A Light in the Attic,Shel Silverstein,4.34,Hardcover,176,October 7th 2002
Breaking Dawn (Twilight #4),Stephenie Meyer,3.70,Hardcover,756,August 2nd 2008
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.08,Paperback,372,November 9th 2004
Guns Germs and Steel: The Fates of Human Societies,Jared Diamond,4.02,Paperback,425,2005
Ulysses,James Joyce,3.74,Paperback,783,1990
Angels & Demons (Robert Langdon #1),Dan Brown,3.88,Mass Market Paperback,736,April 1st 2006
All Creatures Great and Small / All Things Bright and Beautiful,James Herriot,4.25,Hardcover,820,November 1st 1999
The Phantom of the Opera,Gaston Leroux,3.97,Paperback,360,December 30th 1987
The Jungle,Upton Sinclair,3.73,Paperback,335,April 1st 2003
Horton Hears a Who!,Dr. Seuss,4.17,Paperback,64,October 10th 1990
Never Let Me Go,Kazuo Ishiguro,3.81,Paperback,288,August 31st 2010
Paradise Lost,John Milton,3.81,Paperback,453,February 27th 2003
How to Win Friends and Influence People,Dale Carnegie,4.18,Paperback,288,October 1st 1998
Are You There God? It's Me Margaret,Judy Blume,3.90,Hardcover,149,April 1st 2001
Outlander (Outlander #1),Diana Gabaldon,4.22,Mass Market Paperback,850,July 26th 2005
One Day in the Life of Ivan Denisovich,Aleksandr Solzhenitsyn,3.95,Paperback,182,March 16th 2005
Nickel and Dimed: On (Not) Getting by in America,Barbara Ehrenreich,3.62,Paperback,240,May 1st 2002
Lonesome Dove,Larry McMurtry,4.49,Paperback,945,October 1st 1999
The Iliad/The Odyssey,Homer,4.03,Paperback,1556,November 1st 1999
New Moon (Twilight #2),Stephenie Meyer,3.53,Hardcover,563,September 6th 2006
The God of Small Things,Arundhati Roy,3.93,Hardcover,340,1997
The Complete Works,William Shakespeare,4.49,Leather Bound,1248,September 8th 1990
The House of the Spirits,Isabel Allende,4.22,Paperback,448,August 30th 2005
The Green Mile,Stephen King,4.44,Paperback,592,September 1st 1996
Julius Caesar,William Shakespeare,3.67,Paperback,128,October 17th 2002
The Foundation Trilogy (Foundation #1-3),Isaac Asimov,4.40,Paperback,679,January 1st 1974
Neverwhere (London Below #1),Neil Gaiman,4.18,Paperback,370,September 2nd 2003
V for Vendetta,Alan Moore,4.25,Hardcover,296,November 1st 2005
Treasure Island,Robert Louis Stevenson,3.83,Hardcover,311,September 15th 2001
The Name of the Wind (The Kingkiller Chronicle #1),Patrick Rothfuss,4.55,Hardcover,662,April 2007
For Whom the Bell Tolls,Ernest Hemingway,3.96,Paperback,471,1995
Little House in the Big Woods (Little House #1),Laura Ingalls Wilder,4.18,Paperback,198,January 1st 2007
David Copperfield,Charles Dickens,3.98,Paperback,882,2004
Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values,Robert M. Pirsig,3.77,Mass Market Paperback,540,April 25th 2006
The Girl Who Played with Fire (Millennium #2),Stieg Larsson,4.23,Hardcover,503,July 28th 2009
The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,4.15,Hardcover,288,July 29th 2008
The Shining (The Shining #1),Stephen King,4.20,Paperback,447,July 1st 1980
The Elements of Style,William Strunk Jr.,4.20,Hardcover,105,September 3rd 1999
Death of a Salesman,Arthur  Miller,3.50,Hardcover,117,March 18th 1994
The Thorn Birds,Colleen McCullough,4.23,Mass Market Paperback,692,2002
The Importance of Being Earnest,Oscar Wilde,4.17,Paperback,76,January 1st 2005
Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years #1),Gregory Maguire,3.53,Paperback,406,2000
Othello,William Shakespeare,3.88,Paperback,314,January 1st 2004
Unbroken: A World War II Story of Survival Resilience and Redemption,Laura Hillenbrand,4.38,Hardcover,473,November 16th 2010
A Walk in the Woods: Rediscovering America on the Appalachian Trail,Bill Bryson,4.06,Mass Market Paperback,397,December 26th 2006
A Fine Balance,Rohinton Mistry,4.35,Paperback,603,November 30th 2001
Norwegian Wood,Haruki Murakami,4.03,Paperback,296,September 12th 2000
The Host (The Host #1),Stephenie Meyer,3.84,Hardcover,620,May 6th 2008
The Reader,Bernhard Schlink,3.75,Hardcover,216,June 26th 1997
Room,Emma Donoghue,4.05,Hardcover,321,September 2010
The Communist Manifesto,Karl Marx,3.54,Paperback,288,June 27th 2002
Lamb: The Gospel According to Biff Christ's Childhood Pal,Christopher Moore,4.26,Paperback,444,May 25th 2004
The Chosen,Chaim Potok,4.04,Paperback,304,April 12th 1987
The Awakening,Kate Chopin,3.64,Paperback,195,2006
Faust: First Part,Johann Wolfgang von Goethe,3.93,Paperback,327,July 1st 1988
Cry the Beloved Country,Alan Paton,3.89,Hardcover,316,November 25th 2003
Steppenwolf,Hermann Hesse,4.12,Paperback,256,1999
Beowulf,Unknown,3.43,Paperback,213,February 17th 2001
Johnny Got His Gun,Dalton Trumbo,4.17,Paperback,309,August 1st 2000
The Plague,Albert Camus,3.98,Paperback,308,March 1991
Calvin and Hobbes (Calvin and Hobbes #1),Bill Watterson,4.60,Paperback,128,1987
Thirteen Reasons Why,Jay Asher,3.97,Hardcover,352,December 27th 2016
Who Moved My Cheese?,Spencer Johnson,3.78,Hardcover,96,February 7th 2002
The Cider House Rules,John Irving,4.12,Hardcover,973,July 1st 2000
The Martian Chronicles,Ray Bradbury,4.13,Mass Market Paperback,182,June 1st 1984
Eragon (The Inheritance Cycle #1),Christopher Paolini,3.88,Paperback,503,April 2005
It,Stephen King,4.23,Paperback,1116,October 1st 1987
Being and Time,Martin Heidegger,4.01,Hardcover,589,August 1st 1962
Dead Poets Society,N.H. Kleinbaum,4.22,Paperback,166,September 8th 1998
The Pilgrim's Progress,John Bunyan,3.99,Paperback,324,February 10th 2003
Harry Potter and the Order of the Phoenix (Harry Potter #5),J.K. Rowling,4.49,Paperback,870,September 1st 2004
